Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Jesse James,PIT,TE,16,907,56.7,81.9,0,6.9,4.7,6.9,55.2,6.1
Brandon Marshall,NYG,WR,5,254,50.8,36.1,0,13,7.1,13,15.4,6.1
Chris Conley,KC,WR,5,293,58.6,42.1,0,5.5,3.8,5.5,17.5,6
Jermaine Gresham,ARI,TE,14,750,53.6,66.7,0,6.1,4.4,6.1,44.2,5.9
Demetrius Harris,KC,TE,16,487,30.4,47.1,0,7.2,3.7,7.2,28.4,5.8
Russell Shepard,CAR,WR,15,482,32.1,44.7,0.4,6.8,3.9,7.3,28.1,5.8
Tyler Ervin,HOU,RB,4,86,21.5,11,4.7,12.8,14,17.4,5,5.8
Ed Dickson,CAR,TE,16,875,54.7,81.1,0,5.5,3.4,5.5,49.7,5.7
Levine Toilolo,ATL,TE,15,425,28.3,41.4,0,3.3,2.8,3.3,24.2,5.7
Lance Kendricks,GB,TE,16,468,29.2,44.7,0,7.5,3.8,7.5,26.3,5.6
Zay Jones,BUF,WR,15,793,52.9,75.2,0,9.3,3.4,9.3,43.6,5.5
Jordan Taylor,DEN,WR,10,258,25.8,22.9,0,7.8,5,7.8,14.2,5.5
CJ Fiedorowicz,HOU,TE,5,230,46,26.7,0,10,6.1,10,12.7,5.5
Michael Clark,GB,WR,2,75,37.5,22.3,0,18.7,5.3,18.7,4.1,5.5
Phillip Dorsett,NE,WR,15,377,25.1,33,0.3,4.8,3.4,5,20.1,5.3
Braxton Miller,HOU,WR,11,427,38.8,38.7,0.2,6.8,4.7,7,22.3,5.2
Sean Mannion,LAR,QB,5,102,20.4,9.8,8.8,0,45.1,45.1,5.2,5.1
Jonnu Smith,TEN,TE,16,556,34.8,54.3,0,5.4,3.2,5.4,27.7,5
