Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
Ted Ginn,MIA,WR,16,0,0,0,48,0,38,454,1,0,3.5,56.2
Greg Camarillo,MIA,WR,16,0,0,0,0,0,50,552,0,0,3.4,55.2
Kelley Washington,BAL,WR,15,0,0,0,1,0,34,431,2,0,3.7,55.2
Deion Branch,SEA,WR,14,0,0,0,-8,0,45,437,2,0,3.9,54.9
Devin Aromashodu,CHI,WR,10,0,0,0,0,0,24,298,4,0,5.4,53.8
Tony Scheffler,DEN,TE,15,0,0,0,0,0,31,416,2,0,3.6,53.6
Rock Cartwright,WAS,RB,16,0,0,0,228,0,27,242,1,0,3.3,53
Arian Foster,HOU,RB,6,0,0,0,257,3,8,93,0,1,8.5,51
Ladell Betts,WAS,RB,10,0,0,0,210,2,17,179,0,0,5.1,50.9
Fred Taylor,NE,RB,6,0,0,0,269,4,2,17,0,1,8.4,50.6
Devin Thomas,WAS,WR,14,0,0,0,-2,0,25,325,3,0,3.6,50.3
Bobby Wade,KC,WR,12,0,0,0,11,0,36,367,2,0,4.2,49.8
Brandon Jackson,GB,RB,12,0,0,0,111,2,21,187,1,0,4.2,49.8
Willie Parker,PIT,RB,14,0,0,0,389,0,6,64,1,1,3.5,49.3
Antwaan Randle El,WAS,WR,16,0,0,0,0,0,50,530,0,2,3.1,49
Chaz Schilens,OAK,WR,8,0,0,0,0,0,29,365,2,0,6.1,48.5
Chris Brown,HOU,RB,14,0,0,1,267,3,16,74,0,1,3.4,48.1
Bo Scaife,TEN,TE,14,0,0,0,0,0,45,440,1,1,3.4,48
Quinton Ganther,WAS,RB,8,0,0,0,201,3,9,99,0,0,6,48
Jerious Norwood,ATL,RB,10,0,0,0,252,0,19,186,1,1,4.8,47.8
Will Heller,DET,TE,16,0,0,0,0,0,29,296,3,0,3,47.6
