Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPoints,FantasyPointSnapPercentage
Kris Durham,TEN,WR,4,108,27,11.2,0,10.2,5.6,10.2,5.4,5
Crockett Gillmore,BAL,TE,15,372,24.8,34.6,0,4,2.7,4,18.1,4.9
Zach Miller,SEA,TE,3,157,52.3,27,0,4.5,3.8,4.5,7.6,4.8
Jeff Cumberland,NYJ,TE,16,910,56.9,83.6,0,5.2,2.5,5.2,42.7,4.7
Brent Celek,PHI,TE,16,815,50.9,69.3,0,6.3,3.9,6.3,38,4.7
Jeremy Ross,DET,WR,16,709,44.3,64.9,0.3,4.9,3.7,5.2,33.3,4.7
Garrett Graham,HOU,TE,11,552,50.2,49.8,0,5.1,3.3,5.1,25.7,4.7
Robert Meachem,NO,WR,11,250,22.7,21.9,0,8.4,2.8,8.4,11.4,4.6
Benjamin Watson,NO,TE,16,571,35.7,50.1,0,5.4,3.5,5.4,25.6,4.5
Ryan Griffin,HOU,TE,16,334,20.9,30.1,0,4.8,3,4.8,15.1,4.5
DeVier Posey,HOU,WR,1,66,66,6,0,1.5,1.5,1.5,3,4.5
Vernon Davis,SF,TE,14,830,59.3,78.4,0.1,6,3.3,6.1,36.9,4.4
Kyle Juszczyk,BAL,FB,16,454,28.4,42.2,0,5.9,4.2,5.9,20.2,4.4
Gary Barnidge,CLE,TE,13,358,27.5,34.1,0,7,3.6,7,15.6,4.4
Denarius Moore,OAK,WR,10,229,22.9,22.3,0.4,11.8,5.7,12.2,9.6,4.2
Brandon Myers,TB,TE,14,466,33.3,46.9,0,6.9,4.7,6.9,19,4.1
Cory Harkey,LAR,TE,16,333,20.8,33.2,0,3.3,2.4,3.3,13.5,4.1
Rob Housler,ARI,TE,15,320,21.3,30.2,0.3,5.3,3.1,5.6,13,4.1
