Name,Team,Position,ByeWeek,Age,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPoints,AverageDraftPosition
Christian Kirk,ARI,WR,9,21,0,0,0,1,0,36,444,2,56.5,166.1
Pittsburgh Steelers,PIT,DST,7,null,0,0,0,0,0,0,0,0,100,166.2
Chris Boswell,PIT,K,7,27,0,0,0,0,0,0,0,0,127,166.5
Blake Bortles,JAX,QB,9,26,3660,22,14,318,2,0,0,0,250.2,166.7
Dan Bailey,DAL,K,8,30,0,0,0,0,0,0,0,0,120,166.9
Harrison Butker,KC,K,12,23,0,0,0,0,0,0,0,0,129,168.6
Matt Prater,DET,K,6,33,0,0,0,0,0,0,0,0,122,169.3
Robbie Gould,SF,K,11,36,0,0,0,0,0,0,0,0,119,169.4
Dede Westbrook,JAX,WR,9,24,0,0,0,0,0,40,529,3,70.9,171.9
Mason Crosby,GB,K,7,33,0,0,0,0,0,0,0,0,119,172.2
James White,NE,RB,11,26,0,0,0,221,2,49,395,3,89.6,174
Washington Redskins,WAS,DST,4,null,0,0,0,0,0,0,0,0,93,176
Green Bay Packers,GB,DST,7,null,0,0,0,0,0,0,0,0,82,177
Paul Richardson,WAS,WR,4,26,0,0,0,0,0,44,631,3,81.1,177
Tennessee Titans,TEN,DST,8,null,0,0,0,0,0,0,0,0,83,178
Terrance Williams,DAL,WR,8,28,0,0,0,7,0,46,584,3,77.1,178
Arizona Cardinals,ARI,DST,9,null,0,0,0,0,0,0,0,0,100,179
Ted Ginn,NO,WR,6,33,0,0,0,35,0,47,668,4,94.3,179
Mike Wallace,PHI,WR,9,31,0,0,0,2,0,39,559,4,80.1,180
Dallas Cowboys,DAL,DST,8,null,0,0,0,0,0,0,0,0,76,180
Atlanta Falcons,ATL,DST,8,null,0,0,0,0,0,0,0,0,90,181
Ryan Grant,IND,WR,9,27,0,0,0,0,0,38,475,3,65.5,181
Detroit Lions,DET,DST,6,null,0,0,0,0,0,0,0,0,88,182
Albert Wilson,MIA,WR,11,26,0,0,0,8,0,43,508,2,63.6,182
Tyrell Williams,LAC,WR,8,26,0,0,0,0,0,44,682,5,96.2,183
Oakland Raiders,OAK,DST,7,null,0,0,0,0,0,0,0,0,76,183
Miami Dolphins,MIA,DST,11,null,0,0,0,0,0,0,0,0,83,184
Zay Jones,BUF,WR,11,23,0,0,0,0,0,40,511,3,69.1,184
Cincinnati Bengals,CIN,DST,9,null,0,0,0,0,0,0,0,0,82,185
Brandon LaFell,CIN,WR,9,31,0,0,0,0,0,46,525,3,70.5,185
Austin Ekeler,LAC,RB,8,23,0,0,0,360,2,28,238,2,79.8,186
San Francisco 49ers,SF,DST,11,null,0,0,0,0,0,0,0,0,70,186
Indianapolis Colts,IND,DST,9,null,0,0,0,0,0,0,0,0,73,187
Buffalo Bills,BUF,DST,11,null,0,0,0,0,0,0,0,0,83,188
Tampa Bay Buccaneers,TB,DST,5,null,0,0,0,0,0,0,0,0,100,189
Willie Snead,BAL,WR,10,25,0,0,0,0,0,41,486,2,58.6,189
New York Jets,NYJ,DST,11,null,0,0,0,0,0,0,0,0,82,190
Quincy Enunwa,NYJ,WR,11,26,0,0,0,1,0,42,547,3,72.8,190
Ryan Tannehill,MIA,QB,11,29,3718,22,14,176,1,0,0,0,232.32,191
New York Giants,NYG,DST,9,null,0,0,0,0,0,0,0,0,77,191
Cleveland Browns,CLE,DST,11,null,0,0,0,0,0,0,0,0,80,192
John Brown,BAL,WR,10,28,0,0,0,7,0,38,514,3,70.1,193
Darren Sproles,PHI,RB,9,35,0,0,0,233,1,33,271,1,58.4,194
Travis Benjamin,LAC,WR,8,28,0,0,0,47,0,32,489,3,69.6,195
Andy Dalton,CIN,QB,9,30,3847,24,12,127,2,0,0,0,250.58,196
Tre'Quan Smith,NO,WR,6,22,0,0,0,0,0,26,325,2,42.5,197
Donte Moncrief,JAX,WR,9,24,0,0,0,1,0,33,442,4,68.3,198
Theo Riddick,DET,RB,6,27,0,0,0,215,1,51,411,2,78.6,199
Kendall Wright,MIN,WR,10,28,0,0,0,0,0,37,419,2,53.9,201
Terrelle Pryor,NYJ,WR,11,29,0,0,0,7,0,38,477,2,60.4,202
Jermaine Kearse,NYJ,WR,11,28,0,0,0,0,0,43,530,3,71,203
Elijah McGuire,NYJ,RB,11,24,0,0,0,239,1,19,162,1,50.1,204
Danny Amendola,MIA,WR,11,32,0,0,0,9,0,52,558,3,74.7,206
John Ross,CIN,WR,9,23,0,0,0,23,0,30,394,2,51.7,207
JJ Nelson,ARI,WR,9,24,0,0,0,15,0,33,504,3,67.9,208
Joe Flacco,BAL,QB,10,33,3481,19,13,52,1,0,0,0,200.44,210
Taywan Taylor,TEN,WR,8,23,0,0,0,26,0,27,368,1,45.4,211
Seth Roberts,OAK,WR,7,27,0,0,0,0,0,30,309,2,40.9,212
Anthony Miller,CHI,WR,5,23,0,0,0,0,0,36,471,2,59.1,213
Cole Beasley,DAL,WR,8,29,0,0,0,0,0,41,418,3,59.8,214
Bennie Fowler,CHI,WR,5,27,0,0,0,0,0,13,176,1,23.6,215
TJ Yeldon,JAX,RB,9,24,0,0,0,276,2,25,199,1,63.5,216
Chris Godwin,TB,WR,5,22,0,0,0,0,0,32,449,2,56.9,217
Travaris Cadet,BUF,RB,11,29,0,0,0,158,1,13,95,0,29.3,218
James Washington,PIT,WR,7,22,0,0,0,0,0,28,371,2,49.1,219
Courtland Sutton,DEN,WR,10,22,0,0,0,0,0,31,393,2,51.3,220
Taylor Gabriel,CHI,WR,5,27,0,0,0,13,0,31,386,2,51.9,221
Chester Rogers,IND,WR,9,24,0,0,0,11,0,30,395,2,52.6,222
Trent Taylor,SF,WR,11,24,0,0,0,0,0,37,424,2,52.4,223
Adam Humphries,TB,WR,5,25,0,0,0,6,0,42,449,2,55.5,224
Chris Ivory,BUF,RB,11,30,0,0,0,429,3,14,102,1,73.1,225
De'Angelo Henderson,DEN,RB,10,25,0,0,0,201,1,9,77,1,37.8,226
Javorius Allen,BAL,RB,10,26,0,0,0,327,2,28,189,1,67.6,228
Josh Rosen,ARI,QB,9,21,1515,8,5,29,0,0,0,0,85.5,229
Curtis Samuel,CAR,WR,4,21,0,0,0,46,0,27,300,2,46.6,230
Corey Grant,JAX,RB,9,26,0,0,0,276,2,12,101,0,47.7,231
Jalen Richard,OAK,RB,7,24,0,0,0,195,1,19,150,1,42.5,232
Chase Edmonds,ARI,RB,9,22,0,0,0,242,2,13,102,0,44.4,233
Antonio Callaway,CLE,WR,11,21,0,0,0,0,0,19,247,1,28.7,234
Charles Sims,TB,RB,5,27,0,0,0,132,1,29,230,1,46.2,235
Rod Smith,DAL,RB,8,26,0,0,0,241,2,11,92,1,49.3,236
Keke Coutee,HOU,WR,10,21,0,0,0,0,0,22,277,2,39.7,237
D.J. Chark,JAX,WR,9,21,0,0,0,0,0,19,255,1,31.5,238
Mike Davis,SEA,RB,7,25,0,0,0,234,1,17,160,0,43.4,239
Wayne Gallman,NYG,RB,9,23,0,0,0,172,1,18,123,1,39.5,240
Corey Coleman,CLE,WR,11,24,0,0,0,0,0,27,370,2,49,241
Josh Reynolds,LAR,WR,12,23,0,0,0,10,0,12,151,1,22.1,242
Braxton Miller,HOU,WR,10,25,0,0,0,9,0,18,183,1,25.2,243
Carlos Henderson,DEN,WR,10,23,0,0,0,0,0,19,230,1,29,244
Ameer Abdullah,DET,RB,6,25,0,0,0,174,1,13,92,1,36.6,245
James Conner,PIT,RB,7,23,0,0,0,254,2,6,42,0,39.6,246
Tavon Austin,DAL,WR,8,27,0,0,0,137,1,20,182,1,37.9,247
Dante Pettis,SF,WR,11,22,0,0,0,0,0,22,290,2,41,248
Robert Turbin,IND,RB,9,28,0,0,0,119,1,7,53,0,21.2,249
Jeremy Kerley,BUF,WR,11,29,0,0,0,0,0,27,296,1,33.6,250
Jakeem Grant,MIA,WR,11,25,0,0,0,6,0,12,156,1,20.2,251
Roger Lewis,NYG,WR,9,24,0,0,0,0,0,18,221,1,28.1,252
Kyle Juszczyk,SF,FB,11,27,0,0,0,34,0,28,240,1,31.4,253
Brice Butler,ARI,WR,9,28,0,0,0,0,0,20,299,2,41.9,254
Amara Darboh,SEA,WR,7,24,0,0,0,0,0,12,144,1,20.4,255
TJ Jones,DET,WR,6,25,0,0,0,0,0,22,293,2,41.3,256
AJ McCarron,BUF,QB,11,27,1218,6,5,41,0,0,0,0,66.82,257
Keelan Cole,JAX,WR,9,25,0,0,0,0,0,26,399,3,55.9,258
Samaje Perine,WAS,RB,4,22,0,0,0,190,1,7,53,0,28.3,259
Josh McCown,NYJ,QB,11,39,1678,10,7,61,0,0,0,0,99.22,260
Jaron Brown,SEA,WR,7,28,0,0,0,0,0,22,315,3,49.5,261
Christine Michael,IND,RB,9,27,0,0,0,119,1,9,61,1,28,262
Joe Williams,SF,RB,11,24,0,0,0,145,1,7,54,0,25.9,263
Malcolm Brown,LAR,RB,12,25,0,0,0,193,1,5,36,0,26.9,264
Cameron Artis-Payne,CAR,RB,4,26,0,0,0,123,1,5,32,0,19.5,265
Sam Bradford,ARI,QB,9,30,2353,13,7,37,0,0,0,0,135.82,266
Wendell Smallwood,PHI,RB,9,24,0,0,0,98,1,5,42,0,18,267
Kenny Britt,NE,WR,11,29,0,0,0,0,0,12,163,1,22.3,268
Chris Conley,KC,WR,12,25,0,0,0,0,0,20,242,1,30.2,269
Torrey Smith,CAR,WR,4,29,0,0,0,1,0,21,278,2,39.9,270
